SKU,หมวด,ชื่อสินค้า,ขนาด,ทรง/แบบ,สี,หน่วยขาย,จำนวนต่อหน่วยใหญ่,ราคาอ้างอิง(บาท),สถานะข้อมูล,ที่มา,หมายเหตุ
PK-BOT-250-RB-CL,BOT,ขวด PET 250ml เรียบ ใส,250 ml,เรียบ,ใส,ใบ,,1.35,ยืนยันแล้ว,บิล 19/8/69 (300 ใบ+ฝา = 1.60/ชุด) · บิลตัวอย่าง 19/8/69,ราคา 1.35 = หักค่าฝา 0.25 ออกจากชุด 1.60
PK-BOT-250-DM-BL,BOT,ขวด PET 250ml เพชร ฟ้า,250 ml,เพชร,ฟ้า,ใบ,,1.35,ยืนยันแล้ว,บิล 29/8/69 (500 ใบ @1.35),ในบิลวงเล็บ (คอยาว) — เช็คว่าคอยาวเป็นสเปคแยกไหม
PK-BOT-250-MK-CL,BOT,ขวด PET 250ml MK ใส,250 ml,MK,ใส,ใบ,,,รอยืนยัน,ชีตโรงน้ำ OriginSystem (RawMaterials: ขวด-250ml ใส MK),โรงน้ำละกอนใช้ผลิต "ละกอน 250" — ยังไม่เห็นราคาในบิล
PK-BOT-500-RB-CL,BOT,ขวด PET 500ml เรียบ ใส,500 ml,เรียบ,ใส,ใบ,,,รอยืนยัน,บิลตัวอย่าง 19/8/69 · บิล 29/8/69 (สรุปเลขา: ขวด 500 มล.),ยังไม่เห็นราคาต่อใบชัด ๆ
PK-BOT-600-RB-CL,BOT,ขวด PET 600ml เรียบ ใส,600 ml,เรียบ,ใส,ใบ,200 ใบ/ถุง (อ้างอิงขวด 600 ทรง MK),1.95-2.20,ยืนยันแล้ว,บิล 29/8/69 (@1.95 ระบุ ฟ้า/คอยาว) · บิล 17/8/69 (600 ใบ+ฝาทอง @2.20/ชุด),ราคาแกว่งตามงาน/รวมฝาหรือไม่ — ควรตั้งราคามาตรฐาน
PK-BOT-600-OK-CL,BOT,"ขวด PET 600ml ทรง ""OK"" ใส",600 ml,"อ่านจากบิลว่า ""OK""",ใส,ใบ,,~1.43,รอยืนยัน,บิลตัวอย่าง 19/8/69 (20 ใบ @1.43),ชื่อทรงอ่านจากลายมือ — คุณปาล์มยืนยันชื่อจริงด้วย
PK-BOT-600-MK-CL,BOT,ขวด PET 600ml MK ใส,600 ml,MK,ใส,ใบ,200 ใบ/ถุง,,ยืนยันแล้ว,ชีตโรงน้ำ (RawMaterials + บันทึกเบิก 28/8/69: 10 ถุง = 2,000 ใบ),โรงน้ำละกอนใช้ผลิต "ละกอน 600"
PK-BOT-1500-MK-CL,BOT,ขวด PET 1500ml MK ใส,1500 ml,MK,ใส,ใบ,,3.80,ยืนยันแล้ว,บิลตัวอย่าง 19/8/69 (20 ใบ @3.80 = 76),
PK-BOT-250-SC-PURESA,BOT,ขวด PET 250ml สกรีนเพียวซ่า,250 ml,สกรีน,ตามแบรนด์,ใบ,252 ใบ/ถุง,,ยืนยันแล้ว,ชีตโรงน้ำ (บันทึกเบิก 22/7/69: 100 ถุง = 25,200 ใบ),เช็คว่าโรงขวดสกรีนเองหรือส่งช่วงร้านสกรีน
PK-BOT-600-SC-PURESA,BOT,ขวด PET 600ml สกรีนเพียวซ่า,600 ml,สกรีน,ตามแบรนด์,ใบ,200 ใบ/ถุง,,ยืนยันแล้ว,ชีตโรงน้ำ (บันทึกเบิก 22/7/69: 50 ถุง = 10,000 ใบ),เพียวซ่า = แบรนด์ของ P&K เอง (โรงน้ำละกอนรับจ้างบรรจุ)
PK-BOT-600-SC-BOONYAWAT,BOT,ขวด PET 600ml สกรีนบุญวาทย์,600 ml,สกรีน,ตามแบรนด์,ใบ,,,รอยืนยัน,ชีตโรงน้ำ (RawMaterials: สต๊อก 10,000 ใบ · รับเข้า 7/7/69 จำนวน 16,600 ใบ),งานสกรีนแบรนด์ลูกค้า "บุญวาทย์"
PK-CAP-PET-PK,CAP,ฝาน้ำ PET สีชมพู,,ฝาน้ำดื่ม PET,ชมพู,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69 (สีละ 200 ชิ้น @0.25),
PK-CAP-PET-BL,CAP,ฝาน้ำ PET สีฟ้า,,ฝาน้ำดื่ม PET,ฟ้า,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69 · โรงน้ำใช้กับเพียวซ่า (ฝา-สีฟ้า),
PK-CAP-PET-NV,CAP,ฝาน้ำ PET สีน้ำเงิน,,ฝาน้ำดื่ม PET,น้ำเงิน,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69 · โรงน้ำใช้กับละกอน (ฝา-สีน้ำเงิน),
PK-CAP-PET-LG,CAP,ฝาน้ำ PET สีเขียวอ่อน,,ฝาน้ำดื่ม PET,เขียวอ่อน,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69,
PK-CAP-PET-DG,CAP,ฝาน้ำ PET สีเขียวเข้ม,,ฝาน้ำดื่ม PET,เขียวเข้ม,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69,
PK-CAP-PET-WH,CAP,ฝาน้ำ PET สีขาว,,ฝาน้ำดื่ม PET,ขาว,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69,
PK-CAP-PET-BK,CAP,ฝาน้ำ PET สีดำ,,ฝาน้ำดื่ม PET,ดำ,ชิ้น,,0.25,ยืนยันแล้ว,บิล 29/8/69,
PK-CAP-PET-GD,CAP,ฝาน้ำ สีทอง,,ฝาน้ำดื่ม,ทอง,ชิ้น,,~0.25,รอยืนยัน,บิล 17/8/69 (ขายเป็นชุดกับขวด 600 @2.20/ชุด),ราคาแยกชิ้นยังไม่เห็น
PK-CAP-TOK,CAP,ฝาต๊อก,,ฝาต๊อก (กดล็อก),,ชิ้น,,0.25,รอยืนยัน,บิล 19/8/69 (300 ชิ้น ขายคู่ขวด 250 เรียบ),ลายมืออ่านได้ทั้ง "ฝาต๊อก" และ "ฝาดำ" — ให้หน้างานชี้ขาด
PK-FLM-NECK-WIDE-BL,FLM,ฟิล์มคอขวด ปากกว้าง สีฟ้า,,ปากกว้าง,ฟ้า,ม้วน,,200,ยืนยันแล้ว,บิล 15/8/69 (3 ม้วน @200),
PK-FLM-NECK-WH,FLM,ฟิล์มคอขวด สีขาว,,,ขาว,ม้วน,,200,ยืนยันแล้ว,บิล 17/8/69 (1 ม้วน @200),สรุปเลขาเคยอ่านผิดเป็น "ปากขวด" — จริง ๆ คือฟิล์มคอขวด
PK-FLM-NECK-TANK-YL,FLM,ฟิล์มคอถัง สีเหลือง,,แบบถัง/แกลลอน,เหลือง,ม้วน,,150,ยืนยันแล้ว,บิล 15/8/69 (1 ม้วน @150),
PK-FLM-PACK12-CL,FLM,ฟิล์มแพ็คโหล (12 ขวด) ใส,แพ็ค 12,ฟิล์มหดแพ็คโหล,ใส,ม้วน/ชิ้น,,,รอยืนยัน,ชีตโรงน้ำ (RawMaterials: ฟิล์ม-ฟิล์มแพคโหล 12-ใส),หน่วยขายจริงต้องเช็ค (ม้วน หรือ กก.)
PK-FLM-CUPSEAL,FLM,ฟิล์มปิดฝาถ้วยแก้ว (ม้วน),,สำหรับเครื่องซีลถ้วย,,ม้วน,,900,ยืนยันแล้ว,บิล 13/8/69 (1 ม้วน @900),
PK-TNK-GALLON,TNK,ถังแกลลอน (คาดว่า 20 ลิตร),~20 L,,,ใบ,,465,ยืนยันแล้ว,บิล 15/8/69 (30 ใบ @465 = 13,950),ยืนยันขนาดลิตรกับหน้างาน
PK-CUP-GLASS,CUP,ถ้วยแก้ว (น้ำถ้วย),,,,ลัง/แพ็ค (รอยืนยัน),,520,ยืนยันแล้ว,บิล 13/8/69 (4 หน่วย @520),หน่วยขายไม่ระบุในบิล — น่าจะเป็นลัง
PK-MSC-PVC-CUT,MSC,PVC ตัดตามขนาด (เช่น 16.5x16.5),ตามสั่ง,งานสั่งพิเศษ,,เมตร,,120,รอยืนยัน,บิล 18/8/69 (5 เมตร @120),เช็คว่าเป็นสินค้าขายประจำหรืองานฝากซื้อ
PK-MSC-PREFORM,MSC,หลอดพรีฟอร์ม (ขายยกกระสอบ),,,,กระสอบ,,735,รอยืนยัน,สลิปโอน 20/8/69 ("บิล2 หลอด 50 กระสอบ" = 36,750),เช็คว่าขายพรีฟอร์มให้ลูกค้าจริง หรือเป็นรายการอื่น
